OutputID,OutputName,OutputType,OutputTier,ConstructionTime,PlanetTypes,Factions,ResourceType,FunctionalPurpose,UsageCategory,Ingredient1,Quantity1,Ingredient2,Quantity2,Ingredient3,Quantity3,Ingredient4,Quantity4,Ingredient5,Quantity5,Ingredient6,Quantity6,Ingredient7,Quantity7,Ingredient8,Quantity8,Ingredient9,Quantity9,CompletionStatus,InternalRecipeID
ship-component-heat-sink-xxs-t1,Heat Sink XXS T1,SHIP_COMPONENTS,1,120,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,,,complete,ship-component-heat-sink-xxs-t1
ship-component-heat-sink-xxs-t2,Heat Sink XXS T2,SHIP_COMPONENTS,2,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink XXS T1,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-xxs-t2
ship-component-heat-sink-xxs-t3,Heat Sink XXS T3,SHIP_COMPONENTS,3,600,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink XXS T2,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-xxs-t3
ship-component-heat-sink-xxs-t4,Heat Sink XXS T4,SHIP_COMPONENTS,4,1200,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink XXS T3,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-xxs-t4
ship-component-heat-sink-xxs-t5,Heat Sink XXS T5,SHIP_COMPONENTS,5,2400,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink XXS T4,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-xxs-t5
ship-component-heat-sink-xs-t1,Heat Sink XS T1,SHIP_COMPONENTS,1,180,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,,,complete,ship-component-heat-sink-xs-t1
ship-component-heat-sink-xs-t2,Heat Sink XS T2,SHIP_COMPONENTS,2,360,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink XS T1,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-xs-t2
ship-component-heat-sink-xs-t3,Heat Sink XS T3,SHIP_COMPONENTS,3,900,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink XS T2,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-xs-t3
ship-component-heat-sink-xs-t4,Heat Sink XS T4,SHIP_COMPONENTS,4,1800,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink XS T3,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-xs-t4
ship-component-heat-sink-xs-t5,Heat Sink XS T5,SHIP_COMPONENTS,5,3600,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink XS T4,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-xs-t5
ship-component-heat-sink-s-t1,Heat Sink S T1,SHIP_COMPONENTS,1,240,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,,,complete,ship-component-heat-sink-s-t1
ship-component-heat-sink-s-t2,Heat Sink S T2,SHIP_COMPONENTS,2,480,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink S T1,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-s-t2
ship-component-heat-sink-s-t3,Heat Sink S T3,SHIP_COMPONENTS,3,1200,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink S T2,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-s-t3
ship-component-heat-sink-s-t4,Heat Sink S T4,SHIP_COMPONENTS,4,2400,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink S T3,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-s-t4
ship-component-heat-sink-s-t5,Heat Sink S T5,SHIP_COMPONENTS,5,4800,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink S T4,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-s-t5
ship-component-heat-sink-m-t1,Heat Sink M T1,SHIP_COMPONENTS,1,300,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,,,complete,ship-component-heat-sink-m-t1
ship-component-heat-sink-m-t2,Heat Sink M T2,SHIP_COMPONENTS,2,600,Terrestrial Planet,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink M T1,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-m-t2
ship-component-heat-sink-m-t3,Heat Sink M T3,SHIP_COMPONENTS,3,1500,Terrestrial Planet;Volcanic Planet;Gas Giant,MUD;ONI;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink M T2,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-m-t3
ship-component-heat-sink-m-t4,Heat Sink M T4,SHIP_COMPONENTS,4,3000,Volcanic Planet;Ice Planet,MUD;USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink M T3,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-m-t4
ship-component-heat-sink-m-t5,Heat Sink M T5,SHIP_COMPONENTS,5,6000,Volcanic Planet;Ice Planet,USTUR,ELECTRONIC_COMPONENT,CONTROL_SYSTEM,SHIP_COMPONENTS,Heat Sink M T4,1,Thermal Regulator,1,Heat Exchanger,1,Radiator Assembly,1,,,,,,,,,,,complete,ship-component-heat-sink-m-t5
